hypothesis,group,seed,cell_id,luck_level,experiment_id,max_depth,net_profit
H3,experiment_1,10000149,pickaxe_nofood,1,1,9.0,861.9999999999998
H3,experiment_1,10000150,pickaxe_nofood,1,1,4.0,-248.9000000000001
H3,experiment_1,10000151,pickaxe_nofood,1,1,3.0,61.200000000000045
H3,experiment_1,10000152,pickaxe_nofood,1,1,4.0,267.6999999999998
H3,experiment_1,10000153,pickaxe_nofood,1,1,9.0,401.3999999999999
H3,experiment_1,10000154,pickaxe_nofood,1,1,6.0,226.39999999999984
H3,experiment_1,10000155,pickaxe_nofood,1,1,3.0,-675.2
H3,experiment_1,10000156,pickaxe_nofood,1,1,5.0,262.79999999999995
H3,experiment_1,10000157,pickaxe_nofood,1,1,10.0,0.2999999999999545
H3,experiment_1,10000158,pickaxe_nofood,1,1,4.0,-310.5
H3,experiment_1,10000159,pickaxe_nofood,1,1,6.0,60.5
H3,experiment_1,10000160,pickaxe_nofood,1,1,7.0,-531.7
H3,experiment_1,10000161,pickaxe_nofood,1,1,16.0,311.0999999999999
H3,experiment_1,10000162,pickaxe_nofood,1,1,3.0,-272.0
H3,experiment_1,10000163,pickaxe_nofood,1,1,4.0,-29.100000000000023
H3,experiment_1,10000164,pickaxe_nofood,1,1,2.0,-506.50000000000006
H3,experiment_1,10000165,pickaxe_nofood,1,1,27.0,908.1999999999998
H3,experiment_1,10000166,pickaxe_nofood,1,1,9.0,-480.6
H3,experiment_1,10000167,pickaxe_nofood,1,1,10.0,166.89999999999986
H3,experiment_1,10000168,pickaxe_nofood,1,1,12.0,575.0
H3,experiment_1,10000169,pickaxe_nofood,1,1,3.0,-76.70000000000005
H3,experiment_1,10000170,pickaxe_nofood,1,1,18.0,-283.9000000000001
H3,experiment_1,10000171,pickaxe_nofood,1,1,9.0,-396.6
H3,experiment_1,10000172,pickaxe_nofood,1,1,7.0,69.59999999999991
H3,experiment_1,10000173,pickaxe_nofood,1,1,5.0,652.0
H3,experiment_1,10000174,pickaxe_nofood,1,1,16.0,45.09999999999991
H3,experiment_1,10000175,pickaxe_nofood,1,1,9.0,-373.5
H3,experiment_1,10000176,pickaxe_nofood,1,1,4.0,-499.50000000000006
H3,experiment_1,10000177,pickaxe_nofood,1,1,17.0,428.0
H3,experiment_1,10000178,pickaxe_nofood,1,1,4.0,-442.80000000000007
H3,experiment_1,10000179,pickaxe_nofood,1,1,19.0,432.8999999999999
H3,experiment_1,10000180,pickaxe_nofood,1,1,3.0,-313.30000000000007
H3,experiment_1,10000181,pickaxe_nofood,1,1,12.0,1792.2999999999995
H3,experiment_1,10000182,pickaxe_nofood,1,1,2.0,-719.3
